source,target,start,end
ghettotech,ghettotech,1995,2024
technobass,technobass,1986,2024
technobass,ghettotech,1994,1995
moombahton,moombahton,2009,2024
miamibass,miamibass,1985,2010
miamibass,dirtysouthrap,1985,1986
miamibass,moombahton,2008,2009
dirtysouthrap,dirtysouthrap,1986,1998
dirtysouthrap,southernrap,1986,1987
dirtysouthrap,crunk,1995,1996
crunk,crunk,1996,2010
crunk,trap,2009,2010
trap,trap,2010,2024
southernrap,southernrap,1987,2003
southernrap,westcoastrap,1987,1988
southernrap,crunk,1995,1996
westcoastrap,westcoastrap,1988,2000
westcoastrap,bling,1999,2000
bling,bling,2000,2024
eastcoastrap,eastcoastrap,1988,2000
eastcoastrap,southernrap,1986,1987
eastcoastrap,westcoastrap,1987,1988
eastcoastrap,bling,1999,2000
rap,rap,1979,2024
rap,electro,1978,1981
rap,turntablism,1980,1981
rap,miamibass,1982,1985
rap,dirtysouthrap,1983,1986
rap,dancehall,1984,1985
rap,eastcoastrap,1985,1986
dancehall,dancehall,1985,2024
dancehall,consciousrap,1988,1989
consciousrap,consciousrap,1989,2024
consciousrap,themedrap,1992,1992
themedrap,themedrap,1992,2024
turntablism,turntablism,1982,2024
freestyle,freestyle,1983,2024
freestyle,floridabreaks,1994,1995
floridabreaks,floridabreaks,1995,2024
electro,electro,1981,2024
electro,turntablism,1981,1982
electro,freestyle,1982,1983
electro,floridabreaks,1994,1995
electro,detroittechno,1981,1982
minimaltechno,minimaltechno,1992,2024
dubtechno,dubtechno,1993,2024
bangintechno,bangintechno,1995,2024
detroittechno,detroittechno,1981,2024
detroittechno,bleeptechno,1988,1989
detroittechno,eurotechno,1988,1989
detroittechno,minimaltechno,1990,1992
detroittechno,dubtechno,1992,1993
detroittechno,bangintechno,1994,1995
bleeptechno,bleeptechno,1989,2002
bleeptechno,hardtechno,1992,1993
bleeptechno,eurotechno,1989,1989
hardtechno,hardtechno,1993,2024
hardtechno,experimentaltechno,1998,1999
hardtechno,schranz,1999,2000
schranz,schranz,2000,2003
experimentaltechno,experimentaltechno,2000,2024
eurotechno,eurotechno,1989,2002
eurotechno,rave,1989,1990
rave,rave,1990,2024
rave,hardcore,1989,1989
speedcore,speedcore,2000,2024
hardcore,hardcore,1990,2024
hardcore,happyhardcore,1991,1993
hardcore,speedcore,1999,2000
hardcore,oldskoolravehardcore,1989,1989
ukhardcore,ukhardcore,2003,2024
freeform,freeform,2000,2003
freeform,ukhardcore,2002,2003
happyhardcore,happyhardcore,1993,2007
happyhardcore,freeform,1999,2000
oldskoolravehardcore,oldskoolravehardcore,1990,2024
oldskoolravehardcore,raggajungle,1990,1992
